participant_id,activity_id,n_samples,fs_est_hz,ax_f_dominant,ax_amp_dominant,ax_spectral_energy,ax_spectral_centroid,ax_bandwidth_5_95,ay_f_dominant,ay_amp_dominant,ay_spectral_energy,ay_spectral_centroid,ay_bandwidth_5_95,az_f_dominant,az_amp_dominant,az_spectral_energy,az_spectral_centroid,az_bandwidth_5_95
LL,lying,3126,50.0,0.01599488163787588,0.5327495912507009,20.517442871630863,12.66219181694851,23.736404350607803,0.01599488163787588,0.8375948405060483,15.368763117921725,12.606708330091005,23.6724248240563,0.01599488163787588,0.521546976195785,14.964357282449095,12.77550813896365,23.688419705694177
LL,running,3225,50.0,5.240310077519379,178.70024661732242,1314077.2960072877,11.268186929287504,22.49612403100775,5.240310077519379,295.88304306080414,1917506.274767217,11.5787250264328,21.906976744186046,0.6201550387596899,106.87633571610061,262127.7151440711,10.926914094480301,22.2015503875969
LL,sitting,3253,50.0,0.04611128189363664,29.881043277509765,5836.015403366374,8.089929875545897,13.86412542268675,0.01537042729787888,6.46724577920821,636.0611061592095,10.264590958220282,21.318782662158007,0.10759299108515216,22.31818255079586,4294.019760170923,7.765491122521037,12.32708269289886
LL,walking,3152,50.0,3.3153553299492384,43.7555910833472,23807.248363591596,11.187501969324282,22.223984771573605,3.3153553299492384,81.0445242726557,61403.01934526172,11.971823515643704,21.14530456852792,1.649746192893401,38.381455464531555,15187.660950674937,10.83688721595046,21.44670050761421
VV,lying,3368,50.0,0.01484560570071259,4.488830581604664,123.89879449754149,12.449498219027266,22.565320665083135,0.01484560570071259,6.634625702349988,163.8640227146178,10.999073186116973,16.760688836104514,0.01484560570071259,5.063447430848598,135.75266293560753,10.610720937061041,19.967339667458432
VV,running,3147,50.0,4.464569431204321,132.5816195523439,213603.84674840755,11.586183510216104,22.720050842071814,4.925325707022561,179.7689641351676,824324.9229020767,11.57174678608147,21.94153161741341,4.464569431204321,97.45923491302375,123075.85723899407,10.903500922923826,22.03686050206546
VV,sitting,3208,50.0,0.03117206982543641,8.677761531449596,424.2794030418477,9.47552670416726,17.923940149625935,0.015586034912718205,4.42315810311993,182.2634792880433,9.297141641760389,20.07481296758105,0.015586034912718205,9.255924730640892,618.0659203697069,7.238833417914271,10.614089775561098
VV,walking,3198,50.0,0.5472170106316447,18.667371187063765,21011.91404188933,10.580286059527841,21.998123827392117,0.8755472170106315,33.54308641190579,32434.361338823015,11.256948796143528,21.966854283927454,0.5472170106316447,17.672651730600574,6985.147051546306,10.13401271115878,22.138836772983115
YL,lying,3314,50.0,1.176825588412794,1.962480021203881,82.24783877789973,11.586639002375705,23.144236572118285,1.176825588412794,5.210800452925519,178.99630546837977,10.039384238372346,19.130959565479785,1.176825588412794,1.5491764408400832,63.71012663649708,10.449311039127375,22.389861194930596
YL,running,3331,50.0,4.4431101771239865,68.63986323564336,219517.65277957876,11.085883916633108,22.785950165115576,5.073551486040228,101.03389915484048,503608.0169231393,11.374989642763806,21.975382767937553,4.503152206544581,43.22654650831795,110984.6727647449,11.24359317027136,22.425697988592013
YL,sitting,3183,50.0,0.015708451146716932,2.4704912133641797,63.60140312350062,11.415978770588158,22.6358781024191,1.0053408733898836,0.5187045628109638,14.279205644106879,11.964246345497909,22.620169651272384,1.0053408733898836,1.1592463457992555,37.174508906260094,11.610821568455385,23.35846685516808
YL,walking,3186,50.0,4.551161330822348,19.932323134543136,12335.409547426536,10.592898102509055,21.924042686754554,4.551161330822348,14.512226965632882,12831.696669632516,11.003253831654888,22.01820464532329,0.7062146892655368,38.070326169066405,11257.220954408538,9.997661327850624,19.946641556811052
YT,lying,3222,50.0,0.015518311607697084,12.222383426401366,542.163169629932,12.031092853216142,20.48417132216015,0.015518311607697084,11.175678426944774,541.8025839640937,8.528157535830605,11.623215394165115,0.015518311607697084,3.892360496839491,161.4433934570024,11.190558819820545,22.749844816883925
YT,running,3224,50.0,0.7599255583126551,240.37163706748186,661394.5749060168,11.122435708448903,21.944789081885855,5.505583126550868,340.8180300577812,1555092.2553292383,11.514764826157906,21.076302729528535,0.7599255583126551,122.43157524958912,260000.2579457077,10.937507590382708,21.293424317617863
YT,sitting,3308,50.0,0.015114873035066506,27.59464445609024,3402.3171103921386,9.818497395657536,16.490326481257558,0.015114873035066506,5.760929120288814,159.3993108512856,11.444572662764763,22.475816203143896,0.015114873035066506,10.437403741260104,834.7463014065188,8.756940740895693,17.366989117291414
YT,walking,3229,50.0,0.03096934035305048,58.79490989599618,42369.34045027221,10.335822463613043,21.678538247135336,0.01548467017652524,16.178522990350302,17982.700738384076,10.820012115143331,21.72499225766491,0.01548467017652524,36.65368560210449,26653.1265158021,9.915806237552175,21.353360173428303
ZM,lying,3244,50.0,0.03082614056720099,15.453370519708722,1165.160764973382,8.838812103460109,15.613440197287302,0.03082614056720099,15.682586726454394,858.9103179532243,8.495950369894686,4.99383477188656,0.03082614056720099,11.344351398571249,480.05795722117574,9.067476912896698,15.027743526510482
ZM,running,3191,50.0,2.9144468818552176,130.24884630504982,339796.5095234496,11.231081950250967,22.453776245691007,7.803196490128486,364.0565520809719,2527092.6232090835,11.719468482897394,20.730178627389535,2.9144468818552176,130.66616562620365,474038.7542683526,10.914409449031107,21.15324349733626
ZM,sitting,3435,50.0,0.02911208151382824,5.333238296625306,264.32109094604743,10.743702695501124,22.459970887918484,0.01455604075691412,3.6444557324964677,136.25203359016086,11.745144635664044,23.04221251819505,0.01455604075691412,7.6850022600616,317.05441332969207,10.486102042270565,20.480349344978166
ZM,walking,3126,50.0,1.5355086372360844,22.60753754454852,12543.639431320258,11.077652323336242,22.69673704414587,3.071017274472169,25.134925323194754,29555.125986420575,11.979189689632436,21.65706973768394,1.5355086372360844,19.314038354586334,10237.273130803553,10.545105927131702,22.00895713371721
