LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1760386116.256409,1982072,64301,2,AK,1,100,63477,RD
1760386121.366335,1987182,65148,2,AK,1,100,64302,RD
1760386121.369335,1987185,65150,2,AK,1,100,64302,RD
1760386121.397335,1987213,65153,2,AK,1,100,65151,RD
1760386126.488261,1992304,465,2,AK,1,100,65151,RD
1760386126.504261,1992320,468,2,AK,1,100,466,RD
1760386131.595187,1997411,1316,2,AK,1,100,466,RD
1760386131.614187,1997430,1319,2,AK,1,100,1317,RD
1760386136.702113,2002518,2165,2,AK,1,100,1317,RD
1760386136.720113,2002536,2168,2,AK,1,100,2166,RD
1760386141.825039,2007641,3026,2,AK,1,100,2166,RD
1760386141.845039,2007661,3029,2,AK,1,100,3027,RD
1760386146.931965,2012748,3876,2,AK,1,100,3027,RD
1760386146.950965,2012767,3879,2,AK,1,100,3877,RD
1760386152.042891,2017859,4725,2,AK,1,100,3877,RD
1760386152.063891,2017880,4728,2,AK,1,100,4726,RD
1760386157.177817,2022994,5591,2,AK,1,100,4726,RD
1760386157.205816,2023022,5594,2,AK,1,100,5592,RD
1760386162.283743,2028100,6441,2,AK,1,100,5592,RD
1760386162.297743,2028114,6444,2,AK,1,100,6442,RD
1760386167.391669,2033208,7288,2,AK,1,100,6442,RD
1760386167.411669,2033228,7291,2,AK,1,100,7289,RD
1760386172.530594,2038347,8154,2,AK,1,100,7289,RD
1760386172.589594,2038406,8157,2,AK,1,100,8155,RD
1760386177.641521,2043458,9003,2,AK,1,100,8155,RD
1760386177.689520,2043506,9006,2,AK,1,100,9004,RD
1760386182.748446,2048565,9853,2,AK,1,100,9004,RD
1760386182.835445,2048652,9856,2,AK,1,100,9854,RD
1760386187.858372,2053675,10701,2,AK,1,100,9854,RD
1760386187.907372,2053724,10704,2,AK,1,100,10702,RD
1760386192.964298,2058781,11549,2,AK,1,100,10702,RD
1760386193.007298,2058824,11552,2,AK,1,100,11550,RD
1760386198.072225,2063889,12399,2,AK,1,100,11550,RD
1760386198.093224,2063910,12402,2,AK,1,100,12400,RD
1760386203.205150,2069022,13264,2,AK,1,100,12400,RD
1760386203.226150,2069043,13267,2,AK,1,100,13265,RD
1760386208.309077,2074126,14111,2,AK,1,100,13265,RD
1760386208.326076,2074143,14114,2,AK,1,100,14112,RD
1760386213.416003,2079233,14958,2,AK,1,100,14112,RD
1760386213.466002,2079283,14961,2,AK,1,100,14959,RD
1760386218.523929,2084341,15808,2,AK,1,100,14959,RD
1760386218.543928,2084361,15811,2,AK,1,100,15809,RD
1760386223.663854,2089481,16674,2,AK,1,100,15809,RD
1760386223.689854,2089507,16677,2,AK,1,100,16675,RD
1760386228.772780,2094590,17521,2,AK,1,100,16675,RD
1760386228.787780,2094605,17524,2,AK,1,100,17522,RD
1760386233.914706,2099732,18387,2,AK,1,100,17522,RD
1760386233.929705,2099747,18390,2,AK,1,100,18388,RD
1760386239.021632,2104839,19235,2,AK,1,100,18388,RD
1760386239.035632,2104853,19238,2,AK,1,100,19236,RD
1760386244.160557,2109978,20101,2,AK,1,100,19236,RD
1760386244.182557,2110000,20104,2,AK,1,100,20102,RD
