LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1760380452.350806,467222,9966,2,RD,1,100,TL,TU
1760380457.458497,472330,10809,2,RD,1,100,TL,TU
1760380462.582187,477454,11675,2,RD,1,100,TL,TU
1760380467.687879,482560,12521,2,RD,1,100,TL,TU
1760380472.795570,487668,13368,2,RD,1,100,TL,TU
1760380477.920260,492793,14232,2,RD,1,100,TL,TU
1760380483.026952,497900,15085,2,RD,1,100,TL,TU
1760380488.134643,503008,15934,2,RD,1,100,TL,TU
1760380493.259333,508133,16802,2,RD,1,100,TL,TU
1760380498.363025,513237,17654,2,RD,1,100,TL,TU
1760380503.470716,518345,18502,2,RD,1,100,TL,TU
1760380508.598407,523473,19369,2,RD,1,100,TL,TU
1760380513.705098,528580,20222,2,RD,1,100,TL,TU
1760380518.839787,533715,21094,2,RD,1,100,TL,TU
1760380523.951479,538827,21940,2,RD,1,100,TL,TU
1760380529.059170,543935,22789,2,RD,1,100,TL,TU
1760380534.195860,549072,23655,2,RD,1,100,TL,TU
1760380539.302551,554179,24506,2,RD,1,100,TL,TU
1760380544.436241,559313,25375,2,RD,1,100,TL,TU
1760380549.542932,564420,26222,2,RD,1,100,TL,TU
1760380554.653623,569531,27073,2,RD,1,100,TL,TU
1760380559.761315,574639,27932,2,RD,1,100,TL,TU
1760380564.869006,579747,28783,2,RD,1,100,TL,TU
1760380569.976697,584855,29631,2,RD,1,100,TL,TU
